PokemonId,PokedexNumber,PokemonName,Classification,PokemonHeight,PokemonWeight,PrimaryType,PrimaryAbility,PrimaryAbilityDescription,MaleRatio,FemaleRatio,BaseHappiness,GameofOrigin,RegionofOrigin,HealthStat,AttackStat,DefenseStat,SpecialAttackStat,SpecialDefenseStat,SpeedStat,BaseStatTotal,HealthEV,AttackEV,DefenseEV,SpecialAttackEV,SpecialDefenseEV,SpeedEV,EVYieldTotal,CatchRate,ExperienceGrowth,ExperienceGrowthTotal,ExperienceYield,PrimaryEggGroup,EggCycleCount
38,891,Kubfu,Wushu Pokemon,0.6,12.0,Fighting,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",87.5,12.5,0,Sword,Galar,60,90,60,53,50,72,385,0,1,0,0,0,0,1,3,Slow,1250000,57,Undiscovered,120
39,892,Urshifu,Wushu Pokemon,1.9,105.0,Fighting,Unseen Fist,"The Pokémon can deal damage with moves that make physical contact, even if the target is protected.",87.5,12.5,0,Sword,Galar,100,130,100,63,60,97,550,0,3,0,0,0,0,3,3,Slow,1250000,257,Undiscovered,120
40,892,Urshifu,Wushu Pokemon,1.9,105.0,Fighting,Unseen Fist,"The Pokémon can deal damage with moves that make physical contact, even if the target is protected.",87.5,12.5,0,Sword,Galar,100,130,100,63,60,97,550,0,3,0,0,0,0,3,3,Slow,1250000,257,Undiscovered,120
41,898,Calyrex,King Pokemon,1.1,7.7,Psychic,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,0.0,0.0,0,Sword,Galar,100,80,80,80,80,80,500,3,0,0,0,0,0,3,3,Slow,1250000,250,Undiscovered,120
42,151,Mew,New Species Pokemon,0.4,4.0,Psychic,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",0.0,0.0,100,Red,Kanto,100,100,100,100,100,100,600,3,0,0,0,0,0,3,45,Medium Slow,1059860,270,Undiscovered,120
43,150,Mewtwo,Genetic Pokemon,2.0,122.0,Psychic,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",0.0,0.0,0,Red,Kanto,106,110,90,154,90,130,680,0,0,0,3,0,0,3,3,Slow,1250000,306,Undiscovered,120
44,150,Mewtwo,Genetic Pokemon,2.3,127.0,Psychic,Steadfast,The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.,0.0,0.0,0,X,Kalos,106,190,100,154,100,130,780,0,0,0,3,0,0,3,3,Slow,1250000,351,Undiscovered,120
45,150,Mewtwo,Genetic Pokemon,1.5,33.0,Psychic,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,0.0,0.0,0,X,Kalos,106,150,70,194,120,140,780,0,0,0,3,0,0,3,3,Slow,1250000,351,Undiscovered,120
46,81,Magnemite,Magnet Pokemon,0.3,6.0,Electric,Magnet Pull,Prevents Steel-type Pokémon from escaping using its magnetic force.,0.0,0.0,70,Red,Kanto,25,35,70,95,55,45,325,0,0,0,1,0,0,1,190,Medium Fast,1000000,65,Mineral,20
47,100,Voltorb,Ball Pokemon,0.5,10.5,Electric,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.,0.0,0.0,70,Red,Kanto,40,30,50,55,55,100,330,0,0,0,0,0,1,1,190,Medium Fast,1000000,66,Mineral,20
48,32,NidoranMale,Poison Pin Pokemon,0.5,9.0,Poison,Poison Point,Contact with the Pokémon may poison the attacker.,100.0,0.0,70,Red,Kanto,46,57,40,40,40,50,273,0,1,0,0,0,0,1,235,Medium Slow,1059860,55,Monster,20
49,33,Nidorino,Poison Pin Pokemon,0.9,19.5,Poison,Poison Point,Contact with the Pokémon may poison the attacker.,100.0,0.0,70,Red,Kanto,61,72,57,55,55,65,365,0,2,0,0,0,0,2,120,Medium Slow,1059860,128,Monster,20
50,34,Nidoking,Drill Pokemon,1.4,62.0,Poison,Poison Point,Contact with the Pokémon may poison the attacker.,100.0,0.0,70,Red,Kanto,81,102,77,85,75,85,505,0,3,0,0,0,0,3,45,Medium Slow,1059860,227,Monster,20
51,173,Cleffa,Star Shape Pokemon,0.3,3.0,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,25.0,75.0,140,Gold,Johto,50,25,28,45,55,15,218,0,0,0,0,1,0,1,150,Fast,800000,44,Undiscovered,10
52,35,Clefairy,Fairy Pokemon,0.6,7.5,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,25.0,75.0,140,Red,Kanto,70,45,48,60,65,35,323,2,0,0,0,0,0,2,150,Fast,800000,113,Fairy,20
53,36,Clefable,Fairy Pokemon,1.3,40.0,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,25.0,75.0,140,Red,Kanto,95,70,73,95,90,60,483,3,0,0,0,0,0,3,25,Fast,800000,217,Fairy,10
54,37,Vulpix,Fox Pokemon,0.6,9.9,Fire,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,25.0,75.0,70,Red,Kanto,38,41,40,50,65,65,299,0,0,0,0,0,1,1,190,Medium Fast,1000000,60,Field,20
55,37,Vulpix,Fox Pokemon,0.6,9.9,Ice,Snow Cloak,Boosts evasiveness in a hailstorm.,25.0,75.0,70,Sun,Alola,38,41,40,50,65,65,299,0,0,0,0,0,1,1,190,Medium Fast,1000000,60,Field,20
56,38,Ninetales,Fox Pokemon,1.1,19.9,Fire,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,25.0,75.0,70,Red,Kanto,73,76,75,81,100,100,505,0,0,0,0,1,1,2,75,Medium Fast,1000000,177,Field,20
57,38,Ninetales,Fox Pokemon,1.1,19.9,Ice,Snow Cloak,Boosts evasiveness in a hailstorm.,25.0,75.0,70,Sun,Alola,73,67,75,81,100,109,505,0,0,0,0,0,2,2,75,Medium Fast,1000000,177,Field,20
58,174,Igglybuff,Balloon Pokemon,0.3,1.0,Normal,Cute Charm,Contact with the Pokémon may cause infatuation.,25.0,75.0,70,Gold,Johto,90,30,15,40,20,15,210,1,0,0,0,0,0,1,170,Fast,800000,45,Undiscovered,10
59,39,Jigglypuff,Balloon Pokemon,0.5,5.5,Normal,Cute Charm,Contact with the Pokémon may cause infatuation.,25.0,75.0,70,Red,Kanto,115,45,20,45,25,20,270,2,0,0,0,0,0,2,170,Fast,800000,95,Fairy,10
60,40,Wigglytuff,Balloon Pokemon,1.0,12.0,Normal,Cute Charm,Contact with the Pokémon may cause infatuation.,25.0,75.0,70,Red,Kanto,140,70,45,85,50,45,435,3,0,0,0,0,0,3,50,Fast,800000,196,Fairy,10
61,41,Zubat,Bat Pokemon,0.8,7.5,Poison,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",50.0,50.0,70,Red,Kanto,40,45,35,30,40,55,245,0,0,0,0,0,1,1,255,Medium Fast,1000000,49,Flying,15
62,42,Golbat,Bat Pokemon,1.6,55.0,Poison,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",50.0,50.0,70,Red,Kanto,75,80,70,65,75,95,460,0,0,0,0,0,2,2,90,Medium Fast,1000000,159,Flying,15
63,169,Crobat,Bat Pokemon,1.8,75.0,Poison,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",50.0,50.0,70,Gold,Johto,85,90,80,70,80,130,535,0,0,0,0,0,3,3,90,Medium Fast,1000000,241,Flying,15
64,43,Oddish,Weed Pokemon,0.5,5.4,Grass,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,50.0,50.0,70,Red,Kanto,45,50,55,75,65,30,320,0,0,0,1,0,0,1,255,Medium Slow,1059860,64,Grass,20
65,44,Gloom,Weed Pokemon,0.8,8.6,Grass,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,50.0,50.0,70,Red,Kanto,60,65,70,85,75,40,395,0,0,0,2,0,0,2,120,Medium Slow,1059860,138,Grass,20
66,45,Vileplume,Flower Pokemon,1.2,18.6,Grass,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,50.0,50.0,70,Red,Kanto,75,80,85,110,90,50,490,0,0,0,3,0,0,3,45,Medium Slow,1059860,221,Grass,20
67,182,Bellossom,Flower Pokemon,0.4,5.8,Grass,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,50.0,50.0,70,Gold,Johto,75,80,95,90,100,50,490,0,0,0,0,3,0,3,45,Medium Slow,1059860,221,Grass,20
68,46,Paras,Mushroom Pokemon,0.3,5.4,Bug,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",50.0,50.0,70,Red,Kanto,35,70,55,45,55,25,285,0,1,0,0,0,0,1,190,Medium Fast,1000000,57,Bug,20
69,47,Parasect,Mushroom Pokemon,1.0,29.5,Bug,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",50.0,50.0,70,Red,Kanto,60,95,80,60,80,30,405,0,2,1,0,0,0,3,75,Medium Fast,1000000,142,Bug,20
70,48,Venonat,Insect Pokemon,1.0,30.0,Bug,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,50.0,50.0,70,Red,Kanto,60,55,50,40,55,45,305,0,0,0,0,1,0,1,190,Medium Fast,1000000,61,Bug,20
71,49,Venomoth,Poison Moth Pokemon,1.5,12.5,Bug,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,50.0,50.0,70,Red,Kanto,70,65,60,90,75,90,450,0,0,0,1,0,1,2,75,Medium Fast,1000000,158,Bug,20
72,50,Diglett,Mole Pokemon,0.2,0.8,Ground,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,50.0,50.0,70,Red,Kanto,10,55,25,35,45,95,265,0,0,0,0,0,1,1,255,Medium Fast,1000000,53,Field,20
73,51,Dugtrio,Mole Pokemon,0.7,33.3,Ground,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,50.0,50.0,70,Red,Kanto,35,100,50,50,70,120,425,0,0,0,0,0,2,2,50,Medium Fast,1000000,149,Field,20
74,50,Diglett,Mole Pokemon,0.2,1.0,Ground,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,50.0,50.0,70,Sun,Alola,10,55,30,35,45,90,265,0,0,0,0,0,1,1,255,Medium Fast,1000000,53,Field,20
75,51,Dugtrio,Mole Pokemon,0.7,66.6,Ground,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,50.0,50.0,70,Sun,Alola,35,100,60,50,70,110,425,0,2,0,0,0,0,2,50,Medium Fast,1000000,149,Field,20
76,16,Pidgey,Tiny Bird Pokemon,0.3,1.8,Normal,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,50.0,50.0,70,Red,Kanto,40,45,40,35,35,56,251,0,0,0,0,0,1,1,255,Medium Slow,1059860,50,Flying,15
77,17,Pidgeotto,Bird Pokemon,1.1,30.0,Normal,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,50.0,50.0,70,Red,Kanto,63,60,55,50,50,71,349,0,0,0,0,0,2,2,120,Medium Slow,1059860,122,Flying,15
78,18,Pidgeot,Bird Pokemon,1.5,39.5,Normal,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,50.0,50.0,70,Red,Kanto,83,80,75,70,70,101,479,0,0,0,0,0,3,3,45,Medium Slow,1059860,216,Flying,15
79,18,Pidgeot,Bird Pokemon,2.2,50.5,Normal,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,50.0,50.0,70,Omega Ruby,Kalos,83,80,80,135,80,121,579,0,0,0,0,0,3,3,45,Medium Slow,1059860,261,Flying,15
80,19,Rattata,Mouse Pokemon,0.3,3.5,Normal,Run Away,Enables a sure getaway from wild Pokémon.,50.0,50.0,70,Red,Kanto,30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,Medium Fast,1000000,51,Field,15
81,19,Rattata,Mouse Pokemon,0.3,3.8,Dark,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",50.0,50.0,70,Sun,Alola,30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,Medium Fast,1000000,51,Field,15
82,20,Raticate,Mouse Pokemon,0.7,18.5,Normal,Run Away,Enables a sure getaway from wild Pokémon.,50.0,50.0,70,Red,Kanto,55,81,60,50,70,97,413,0,0,0,0,0,2,2,127,Medium Fast,1000000,145,Field,15
83,20,Raticate,Mouse Pokemon,0.7,25.5,Dark,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",50.0,50.0,70,Sun,Alola,75,71,70,40,80,77,413,0,0,0,0,0,2,2,127,Medium Fast,1000000,145,Field,15
84,21,Spearow,Tiny Bird Pokemon,0.3,2.0,Normal,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,50.0,50.0,70,Red,Kanto,40,60,30,31,31,70,262,0,0,0,0,0,1,1,255,Medium Fast,1000000,52,Flying,15
85,22,Fearow,Beak Pokemon,1.2,38.0,Normal,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,50.0,50.0,70,Red,Kanto,65,90,65,61,61,100,442,0,0,0,0,0,2,2,90,Medium Fast,1000000,155,Flying,15
86,23,Ekans,Snake Pokemon,2.0,6.9,Poison,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",50.0,50.0,70,Red,Kanto,35,60,44,40,54,55,288,0,1,0,0,0,0,1,255,Medium Fast,1000000,58,Field,20
87,24,Arbok,Cobra Pokemon,3.5,65.0,Poison,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",50.0,50.0,70,Red,Kanto,60,95,69,65,79,80,448,0,2,0,0,0,0,2,90,Medium Fast,1000000,157,Field,20
88,172,Pichu,Tiny Mouse Pokemon,0.3,2.0,Electric,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",50.0,50.0,70,Gold,Johto,20,40,15,35,35,60,205,0,0,0,0,0,1,1,190,Medium Fast,1000000,41,Undiscovered,10
89,25,Pikachu,Mouse Pokemon,0.4,6.0,Electric,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",50.0,50.0,70,Red,Kanto,35,55,40,50,50,90,320,0,0,0,0,0,2,2,190,Medium Fast,1000000,112,Field,10
90,26,Raichu,Mouse Pokemon,0.8,30.0,Electric,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",50.0,50.0,70,Red,Kanto,60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,218,Field,10
91,26,Raichu,Mouse Pokemon,0.7,21.0,Electric,Surge Surfer,Doubles the Pokémon's Speed stat on Electric Terrain.,50.0,50.0,70,Sun,Alola,60,85,50,95,85,110,485,0,0,0,0,0,3,3,75,Medium Fast,1000000,218,Field,10
92,27,Sandshrew,Mouse Pokemon,0.6,12.0,Ground,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,50.0,50.0,70,Red,Kanto,50,75,85,20,30,40,300,0,0,1,0,0,0,1,255,Medium Fast,1000000,60,Field,20
93,27,Sandshrew,Mouse Pokemon,0.7,40.0,Ice,Snow Cloak,Boosts evasiveness in a hailstorm.,50.0,50.0,70,Sun,Alola,50,75,90,10,35,40,300,0,0,1,0,0,0,1,255,Medium Fast,1000000,60,Field,20
94,28,Sandslash,Mouse Pokemon,1.0,29.5,Ground,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,50.0,50.0,70,Red,Kanto,75,100,110,45,55,65,450,0,0,2,0,0,0,2,90,Medium Fast,1000000,158,Field,20
95,28,Sandslash,Mouse Pokemon,1.2,55.0,Ice,Snow Cloak,Boosts evasiveness in a hailstorm.,50.0,50.0,70,Sun,Alola,75,100,120,25,65,65,450,0,0,2,0,0,0,2,90,Medium Fast,1000000,158,Field,20
96,52,Meowth,Scratch Cat Pokemon,0.4,4.2,Normal,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",50.0,50.0,70,Red,Kanto,40,45,35,40,40,90,290,0,0,0,0,0,1,1,255,Medium Fast,1000000,58,Field,20
97,52,Meowth,Scratch Cat Pokemon,0.4,4.2,Dark,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",50.0,50.0,70,Sun,Alola,40,35,35,50,40,90,290,0,0,0,0,0,1,1,255,Medium Fast,1000000,58,Field,20
98,52,Meowth,Scratch Cat Pokemon,0.4,7.5,Steel,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",50.0,50.0,70,Sword,Galar,50,65,55,40,40,40,290,0,0,0,0,0,1,1,255,Medium Fast,1000000,58,Field,20
99,863,Perrserker,Viking Pokemon,0.8,28.0,Steel,Battle Armor,Hard armor protects the Pokémon from critical hits.,50.0,50.0,50,Sword,Galar,70,110,100,50,60,50,440,0,2,0,0,0,0,2,90,Medium Fast,1000000,154,Field,20
100,53,Persian,Classy Cat Pokemon,1.0,32.0,Normal,Limber,Its limber body protects the Pokémon from paralysis.,50.0,50.0,70,Red,Kanto,65,70,60,65,65,115,440,0,0,0,0,0,2,2,90,Medium Fast,1000000,154,Field,20
101,53,Persian,Classy Cat Pokemon,1.1,33.0,Dark,Fur Coat,Halves the damage from physical moves.,50.0,50.0,70,Sun,Alola,65,60,60,75,65,115,440,0,0,0,0,0,2,2,90,Medium Fast,1000000,154,Field,20
